gate: race
command: go test -race -p 1 ./...
exit: 0
---
ok  	veriqo/cmd/veriqo-demo	(cached)
?   	veriqo/cmd/veriqo-gateway	[no test files]
?   	veriqo/cmd/veriqo-kernel-demo	[no test files]
?   	veriqo/cmd/veriqo-live-demo	[no test files]
?   	veriqo/cmd/veriqo-node	[no test files]
?   	veriqo/cmd/veriqo-readiness	[no test files]
ok  	veriqo/cmd/veriqo-requirements	1.015s
?   	veriqo/cmd/veriqo-testrunner	[no test files]
?   	veriqo/cmd/veriqo-verify	[no test files]
ok  	veriqo/internal/assurance	1.023s
ok  	veriqo/pkg/api	1.426s
ok  	veriqo/pkg/authz	1.022s
ok  	veriqo/pkg/canonical	1.027s
ok  	veriqo/pkg/chaos	61.061s
ok  	veriqo/pkg/connector	1.013s
ok  	veriqo/pkg/consensus/raftlite	7.390s
ok  	veriqo/pkg/core/trustcalc	1.017s
ok  	veriqo/pkg/dataplatform/ingest	1.014s
ok  	veriqo/pkg/dataquality	1.042s
ok  	veriqo/pkg/engine	1.024s
ok  	veriqo/pkg/evidence/api	1.030s
ok  	veriqo/pkg/evidence/graph	1.020s
ok  	veriqo/pkg/evidence/ontology	1.026s
ok  	veriqo/pkg/execution	1.145s
ok  	veriqo/pkg/explanation	1.022s
ok  	veriqo/pkg/governance/data	1.017s
ok  	veriqo/pkg/governance/hitl	1.019s
ok  	veriqo/pkg/governance/knowledge	1.022s
ok  	veriqo/pkg/governance/lifecycle	1.019s
ok  	veriqo/pkg/governance/qualification	1.016s
ok  	veriqo/pkg/identity	1.023s
ok  	veriqo/pkg/kernel/distributed	1.015s
ok  	veriqo/pkg/kernel/execgraph	1.016s
ok  	veriqo/pkg/kernel/intent	1.015s
ok  	veriqo/pkg/kernel/intentgraph	1.015s
ok  	veriqo/pkg/kernel/mission	1.016s
ok  	veriqo/pkg/kernel/ontology	1.017s
ok  	veriqo/pkg/kernel/plugin	3.658s
ok  	veriqo/pkg/kernel/policy	1.017s
ok  	veriqo/pkg/kernel/reasoning	1.014s
ok  	veriqo/pkg/kernel/resource	1.424s
ok  	veriqo/pkg/kernel/runtime	1.015s
ok  	veriqo/pkg/kernel/sandbox	1.016s
ok  	veriqo/pkg/kernel/selfheal	1.015s
ok  	veriqo/pkg/lifecycle	1.024s
ok  	veriqo/pkg/moat/calibration	1.032s
ok  	veriqo/pkg/moat/causal	1.016s
ok  	veriqo/pkg/moat/contradiction	1.017s
ok  	veriqo/pkg/moat/decision	1.020s
ok  	veriqo/pkg/moat/digitaltwin	1.017s
ok  	veriqo/pkg/moat/domain/maritime	1.018s
ok  	veriqo/pkg/moat/economic	1.018s
ok  	veriqo/pkg/moat/entity	1.015s
ok  	veriqo/pkg/moat/evidencegraph	1.023s
ok  	veriqo/pkg/moat/fusion	1.025s
ok  	veriqo/pkg/moat/fusion/hbayes	1.016s
ok  	veriqo/pkg/moat/hbayes	1.029s
ok  	veriqo/pkg/moat/intelligence/evidence	1.014s
ok  	veriqo/pkg/moat/intelligence/patterns	1.016s
ok  	veriqo/pkg/moat/intelligence/pricing	1.017s
ok  	veriqo/pkg/moat/intelligence/risk	1.017s
ok  	veriqo/pkg/moat/kg	1.024s
ok  	veriqo/pkg/moat/metaintelligence	1.014s
ok  	veriqo/pkg/moat/provenance	1.015s
ok  	veriqo/pkg/moat/reliability	1.019s
ok  	veriqo/pkg/moat/simulation	1.017s
ok  	veriqo/pkg/moat/temporal	1.015s
ok  	veriqo/pkg/platform/audit	1.027s
ok  	veriqo/pkg/platform/config	1.017s
ok  	veriqo/pkg/platform/observability	1.025s
ok  	veriqo/pkg/platform/security	1.020s
ok  	veriqo/pkg/platform/security/keys	1.027s
ok  	veriqo/pkg/platform/telemetry	1.016s
ok  	veriqo/pkg/replay	1.038s
ok  	veriqo/pkg/storage	1.137s
ok  	veriqo/pkg/storage/wal	1.063s
ok  	veriqo/pkg/transport/flowcontrol	1.170s
ok  	veriqo/pkg/transport/rafttcp	1.428s
ok  	veriqo/pkg/trust	1.015s
ok  	veriqo/pkg/trust/state	1.015s
ok  	veriqo/pkg/verification	1.041s
ok  	veriqo/pkg/workflow	1.015s
ok  	veriqo/test/acceptance	1.258s
ok  	veriqo/test/acceptance/replay	2.102s
ok  	veriqo/test/chaos	1.194s
ok  	veriqo/test/integration	2.709s
ok  	veriqo/test/stress	1.453s
ok  	veriqo/veriqo/cli	1.712s
ok  	veriqo/veriqo/core/evidence	1.014s
ok  	veriqo/veriqo/core/execution	1.032s
ok  	veriqo/veriqo/core/intelligence	1.016s
ok  	veriqo/veriqo/core/knowledge	1.016s
ok  	veriqo/veriqo/core/runtime	1.017s
ok  	veriqo/veriqo/examples	1.014s
ok  	veriqo/veriqo/gateway/rest	1.575s
ok  	veriqo/veriqo/generator	1.104s
?   	veriqo/veriqo/generator/cmd/gen	[no test files]
ok  	veriqo/veriqo/kernel	1.015s
ok  	veriqo/veriqo/moat/scorecard	1.015s
ok  	veriqo/veriqo/registry	1.023s
ok  	veriqo/veriqo/sdk/go	1.016s
